数据来源部门,业务域,表英文名称,表中文名称,字段英文名称,字段中文名称,字段说明,字段类型,字段长度,是否主键,是否外键,外键关联字段,来源表的英文名称,来源表的中文名称,来源字段的英文名称,来源字段的中文名称,备注
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,fhmc,分行名称,,varchar(80),80,,,,ods_cg_cght,采购合同,FHMC,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,gffh,,,varchar(80),80,,,,ods_cg_cght,采购合同,GFFH,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,kczzbm,,,varchar(40),40,,,,ods_cg_cght,采购合同,KCZZBM,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,kczzmc,,,varchar(200),200,,,,ods_cg_cght,采购合同,KCZZMC,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,wzbmfpmb,,,varchar(40),40,,,,ods_cg_cght,采购合同,WZBMFPMB,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,dzjc,地址简称,,varchar(50),50,,,,ods_cg_cght,采购合同,DZJC,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,dzid,,,bigint(20),-,,,,ods_cg_cght,采购合同,DZID,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,cgyuser,,,varchar(40),40,,,,ods_cg_cght,采购合同,CGYUSER,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,global_agreement_flag,,,varchar(1),1,,,,ods_cg_cght,采购合同,GLOBAL_AGREEMENT_FLAG,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,iscreateddh,,,varchar(2),2,,,,ods_cg_cght,采购合同,ISCREATEDDH,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,invitecorpcode,,,varchar(80),80,,,,ods_cg_cght,采购合同,INVITECORPCODE,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,invitecorpdesc,,,varchar(80),80,,,,ods_cg_cght,采购合同,INVITECORPDESC,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,htflbm,,,varchar(20),20,,,,ods_cg_cght,采购合同,HTFLBM,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,exchangerateid,,,bigint(20),-,,,,ods_cg_cght,采购合同,EXCHANGERATEID,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,erphtcgxybm,,,text,65535,,,,ods_cg_cght,采购合同,ERPHTCGXYBM,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,erphtcgxymc,,,text,65535,,,,ods_cg_cght,采购合同,ERPHTCGXYMC,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,xfdwdzyx,,,varchar(120),120,,,,ods_cg_cght,采购合同,XFDWDZYX,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,sdfdwdzyx,,,varchar(120),120,,,,ods_cg_cght,采购合同,SDFDWDZYX,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,jlfs,,,varchar(64),64,,,,ods_cg_cght,采购合同,JLFS,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,qyxz,企业性质,,varchar(64),64,,,,ods_cg_cght,采购合同,QYXZ,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,sktj,,,varchar(32),32,,,,ods_cg_cght,采购合同,SKTJ,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,skrq,,,datetime,-,,,,ods_cg_cght,采购合同,SKRQ,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,shrq,审核日期,,datetime,-,,,,ods_cg_cght,采购合同,SHRQ,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,jhrq,,,datetime,-,,,,ods_cg_cght,采购合同,JHRQ,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,ysfs,,,varchar(64),64,,,,ods_cg_cght,采购合同,YSFS,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,zlyq,,,varchar(64),64,,,,ods_cg_cght,采购合同,ZLYQ,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,sfydz,,,varchar(32),32,,,,ods_cg_cght,采购合同,SFYDZ,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,jhdd,交货地点,,varchar(120),120,,,,ods_cg_cght,采购合同,JHDD,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,yglx,,,"decimal(14,4)",-,,,,ods_cg_cght,采购合同,YGLX,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,ygmlr,,,"decimal(14,4)",-,,,,ods_cg_cght,采购合同,YGMLR,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,mll,,,"decimal(14,4)",-,,,,ods_cg_cght,采购合同,MLL,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,khjbqk,,,varchar(64),64,,,,ods_cg_cght,采购合同,KHJBQK,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,xsywqzfx,,,varchar(64),64,,,,ods_cg_cght,采购合同,XSYWQZFX,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,fkfxcs,,,varchar(64),64,,,,ods_cg_cght,采购合同,FKFXCS,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,fktj,,,varchar(64),64,,,,ods_cg_cght,采购合同,FKTJ,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,fkrq,,,datetime,-,,,,ods_cg_cght,采购合同,FKRQ,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,cpn,,,datetime,-,,,,ods_cg_cght,采购合同,CPN,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,cgzzdwbm,,,varchar(64),64,,,,ods_cg_cght,采购合同,CGZZDWBM,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,cgzzdwmc,,,varchar(64),64,,,,ods_cg_cght,采购合同,CGZZDWMC,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,hl,,,"decimal(14,4)",-,,,,ods_cg_cght,采购合同,HL,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,contractid,,,varchar(32),32,,,,ods_cg_cght,采购合同,CONTRACTID,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,checkintaxinclusive,是否含税入库,,varchar(1),1,,,,ods_cg_cght,采购合同,CHECKINTAXINCLUSIVE,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,performancebond,履约保证金,,"decimal(14,4)",-,,,,ods_cg_cght,采购合同,PERFORMANCEBOND,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,scusedorgid,,,varchar(32),32,,,,ods_cg_cght,采购合同,SCUSEDORGID,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,scusedorgname,,,varchar(128),128,,,,ods_cg_cght,采购合同,SCUSEDORGNAME,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,subcontractcategory,,,varchar(1),1,,,,ods_cg_cght,采购合同,SUBCONTRACTCATEGORY,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,additionalcontract,,,varchar(1),1,,,,ods_cg_cght,采购合同,ADDITIONALCONTRACT,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,primarycontract,,,varchar(180),180,,,,ods_cg_cght,采购合同,PRIMARYCONTRACT,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,paymentratio,,,varchar(32),32,,,,ods_cg_cght,采购合同,PAYMENTRATIO,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,planedstartdate,计划开工日期,,datetime,-,,,,ods_cg_cght,采购合同,PLANEDSTARTDATE,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,planedenddate,计划完工日期,,datetime,-,,,,ods_cg_cght,采购合同,PLANEDENDDATE,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,contracttypeid,,,bigint(20),-,,,,ods_cg_cght,采购合同,CONTRACTTYPEID,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,stemplatedefinition,,,bigint(20),-,,,,ods_cg_cght,采购合同,STEMPLATEDEFINITION,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,businessclassification,业务分类,,varchar(6),6,,,,ods_cg_cght,采购合同,BUSINESSCLASSIFICATION,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,gylx,,,varchar(64),64,,,,ods_cg_cght,采购合同,GYLX,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,yfkbl,,,"decimal(8,2)",-,,,,ods_cg_cght,采购合同,YFKBL,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,jdkbl,,,"decimal(8,2)",-,,,,ods_cg_cght,采购合同,JDKBL,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,thkbl,,,"decimal(8,2)",-,,,,ods_cg_cght,采购合同,THKBL,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,dhkbl,,,"decimal(8,2)",-,,,,ods_cg_cght,采购合同,DHKBL,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,tskbl,,,"decimal(8,2)",-,,,,ods_cg_cght,采购合同,TSKBL,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,yskbl,,,"decimal(8,2)",-,,,,ods_cg_cght,采购合同,YSKBL,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,zbjbl,,,"decimal(8,2)",-,,,,ods_cg_cght,采购合同,ZBJBL,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,qtkbl,,,"decimal(8,2)",-,,,,ods_cg_cght,采购合同,QTKBL,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,printdate,,,datetime,-,,,,ods_cg_cght,采购合同,PRINTDATE,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,yfkblcontent,,,varchar(20),20,,,,ods_cg_cght,采购合同,YFKBLCONTENT,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,jdkblcontent,,,varchar(20),20,,,,ods_cg_cght,采购合同,JDKBLCONTENT,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,dhkblcontent,,,varchar(20),20,,,,ods_cg_cght,采购合同,DHKBLCONTENT,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,thkblcontent,,,varchar(20),20,,,,ods_cg_cght,采购合同,THKBLCONTENT,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,tskblcontent,,,varchar(20),20,,,,ods_cg_cght,采购合同,TSKBLCONTENT,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,yskblcontent,,,varchar(20),20,,,,ods_cg_cght,采购合同,YSKBLCONTENT,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,zbjblcontent,,,varchar(60),60,,,,ods_cg_cght,采购合同,ZBJBLCONTENT,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,qtkblcontent,,,varchar(20),20,,,,ods_cg_cght,采购合同,QTKBLCONTENT,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,wpth,,,varchar(64),64,,,,ods_cg_cght,采购合同,WPTH,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,zjth,,,varchar(64),64,,,,ods_cg_cght,采购合同,ZJTH,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,zch,,,varchar(64),64,,,,ods_cg_cght,采购合同,ZCH,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,idno,,,varchar(64),64,,,,ods_cg_cght,采购合同,IDNO,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,jhmc,计划名称,,varchar(64),64,,,,ods_cg_cght,采购合同,JHMC,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,wyfk,,,varchar(64),64,,,,ods_cg_cght,采购合同,WYFK,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,zbq,,,varchar(64),64,,,,ods_cg_cght,采购合同,ZBQ,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,sgncyfkje,,,bigint(20),-,,,,ods_cg_cght,采购合同,SGNCYFKJE,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,contractreception,,,varchar(1),1,,,,ods_cg_cght,采购合同,CONTRACTRECEPTION,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,fksqtzbz,,,varchar(64),64,,,,ods_cg_cght,采购合同,FKSQTZBZ,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,fktk,,,varchar(64),64,,,,ods_cg_cght,采购合同,FKTK,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,fph,,,varchar(64),64,,,,ods_cg_cght,采购合同,FPH,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,zgsj,,,datetime,-,,,,ods_cg_cght,采购合同,ZGSJ,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,gzsj,,,datetime,-,,,,ods_cg_cght,采购合同,GZSJ,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,submitor,提交人编码,,varchar(128),128,,,,ods_cg_cght,采购合同,SUBMITOR,提交人编码,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,submitorname,提交人名称,,varchar(128),128,,,,ods_cg_cght,采购合同,SUBMITORNAME,提交人名称,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,submittime,提交时间,,datetime,-,,,,ods_cg_cght,采购合同,SUBMITTIME,提交时间,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,qcje,期初金额,,"decimal(18,4)",-,,,,ods_cg_cght,采购合同,QCJE,期初金额,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,zzlastupdatetime,,,datetime,-,,,,ods_cg_cght,采购合同,ZZLASTUPDATETIME,,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,djdwmc,制单人单位名称,,varchar(180),180,,,,ods_cg_cght,采购合同,djdwmc,制单人单位名称,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,tendersignaturestatus,招标方签章状态,"（0-未签章， 1-已签章,-1未邀请）",varchar(10),10,,,,ods_cg_cght,采购合同,tenderSignatureStatus,"招标方签章状态 （0-未签章， 1-已签章,-1未邀请）",靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,vendorsignaturestatus,供应商签章状态,（-1-未邀请，0-未签章， 1-已签章）,varchar(10),10,,,,ods_cg_cght,采购合同,vendorSignatureStatus,供应商签章状态 （-1-未邀请，0-未签章， 1-已签章）,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,yjwgrq,预计完工日期,,datetime,-,,,,ods_cg_cght,采购合同,YJWGRQ,预计完工日期,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,yszje,采购协议-预算总金额,,"decimal(18,4)",-,,,,ods_cg_cght,采购合同,YSZJE,采购协议--预算总金额,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,ysssje,采购协议-预算所剩金额,,"decimal(18,4)",-,,,,ods_cg_cght,采购合同,YSSSJE,采购协议--预算所剩金额,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,cgjelimitflag,采购协议-是否设置采购金额上限,0-否 1-是,varchar(1),1,,,,ods_cg_cght,采购合同,CGJELIMITFLAG,采购协议--是否设置采购金额上限  0-否 1-是,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,cgjelimit,采购协议-采购金额上限,,"decimal(18,4)",-,,,,ods_cg_cght,采购合同,CGJELIMIT,采购协议--采购金额上限,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,floatpriceflag,是否设置浮动价,0-否 1-是,varchar(1),1,,,,ods_cg_cght,采购合同,FLOATPRICEFLAG,是否设置浮动价 0-否 1-是,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,cgxylx,采购协议-协议类型,1-单价协议 2-数量协议 3-总金额协议,varchar(1),1,,,,ods_cg_cght,采购合同,CGXYLX,采购协议--协议类型 1-单价协议 2-数量协议 3-总金额协议,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,whetherneedsignature,是否需要签章,（0-是， 1-否）,varchar(4),4,,,,ods_cg_cght,采购合同,WHETHERNEEDSIGNATURE,是否需要签章 （0-是， 1-否）,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,gzr,签章人名称,,text,65535,,,,ods_cg_cght,采购合同,GZR,签章人名称,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,gzrbm,签章人编码,,varchar(20),20,,,,ods_cg_cght,采购合同,GZRBM,签章人编码,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,gzsx,签章顺序,0-采购方先签 供应商后  1-供应商先签采购方后,varchar(4),4,,,,ods_cg_cght,采购合同,GZSX,签章顺序  0-采购方先签 供应商后  1-供应商先签采购方后,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,hisdata,是否是历史数据,1-是      null，0-是否  用于区别 之前签章存的历史数据,varchar(2),2,,,,ods_cg_cght,采购合同,HISDATA,是否是历史数据 1-是      null，0-是否  用于区别 之前签章存的历史数据,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,bgtendersignaturestatus,变更合同-采购方签章状态,（-1未邀请，0已邀请，1已签章）,varchar(10),10,,,,ods_cg_cght,采购合同,BGTENDERSIGNATURESTATUS,变更合同 采购方签章状态（-1未邀请，0已邀请，1已签章）,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,bgvendorsignaturestatus,变更合同-供应商签章状态,（-1未邀请，0已邀请，1已签章）,varchar(10),10,,,,ods_cg_cght,采购合同,BGVENDORSIGNATURESTATUS,变更合同 供应商签章状态（-1未邀请，0已邀请，1已签章）,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,bggzrbm,变更合同-签章人编码,,varchar(20),20,,,,ods_cg_cght,采购合同,BGGZRBM,变更合同 签章人编码,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,bggzr,变更合同-签章人名称,,text,65535,,,,ods_cg_cght,采购合同,BGGZR,变更合同 签章人名称,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,bggzsx,变更合同-签章顺序,,varchar(4),4,,,,ods_cg_cght,采购合同,BGGZSX,变更合同 签章顺序,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,orderbudget,采购预算,,varchar(60),60,,,,ods_cg_cght,采购合同,ORDERBUDGET,采购预算,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,termneed,是否需要合同条款确认,1-需要 0 null-不需要,varchar(10),10,,,,ods_cg_cght,采购合同,TERMNEED,是否需要合同条款确认 1-需要 0 null-不需要,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,termstatus,合同条款确认状态,-1 未邀请  0 已邀请（未确认） 1 已确认,varchar(10),10,,,,ods_cg_cght,采购合同,TERMSTATUS,合同条款确认状态 -1 未邀请  0 已邀请（未确认） 1 已确认,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,foreignrelatedflag,是否涉外,1-是 0-否,varchar(1),1,,,,ods_cg_cght,采购合同,ForeignRelatedFlag,是否涉外 1-是 0-否,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,relatedcountry,涉及国家,,varchar(100),100,,,,ods_cg_cght,采购合同,RelatedCountry,涉及国家,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,yjkgrq,预计开工日期,,datetime,-,,,,ods_cg_cght,采购合同,YJKGRQ,预计开工日期,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,dfthbm,对方系统中合同编码（来源与接口系统推送的合同数据）,,text,65535,,,,ods_cg_cght,采购合同,dfthbm,对方系统中合同编码（来源与接口系统推送的合同数据）,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,datasource,数据来源,0、null -线上  1-线下,varchar(1),1,,,,ods_cg_cght,采购合同,DATASOURCE,数据来源 0、null -线上  1-线下,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,lastupdatetime,最后修改时间,,datetime,-,,,,ods_cg_cght,采购合同,LASTUPDATETIME,最后修改时间,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,primarycontractcode,主合同编码,,varchar(64),64,,,,ods_cg_cght,采购合同,PRIMARYCONTRACTCODE,主合同编码,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,offlinesignatureflag,是否线下签章,0-否 1-是,varchar(1),1,,,,ods_cg_cght,采购合同,offlineSignatureFlag,是否线下签章 0-否 1-是,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,processdefinition,工作流流程编码,,varchar(80),80,,,,ods_cg_cght,采购合同,processdefinition,工作流流程编码,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,fwhtlx,服务合同类型,0-运输合同、1-委外加工合同、2-仓库保管合同、3-保险服务合同、4-租赁合同、99-其他,varchar(10),10,,,,ods_cg_cght,采购合同,FWHTLX,服务合同类型 0-运输合同、1-委外加工合同、2-仓库保管合同、3-保险服务合同、4-租赁合同、99-其他,靠企吃企
供应链管理部,供应链管理,dwd_gyl_cght,采购合同,lastutd,最后更新日期,,datetime,,,,,ods_cg_cght,采购合同,lastutd,最后更新日期,
供应链管理部,供应链管理,dwd_gyl_cghtmxmx,采购合同明细明细表,htbm,合同编码,,varchar(20),20,,,,ods_cg_cghtmxmx,采购合同明细明细表,HTBM,合同编码,
供应链管理部,供应链管理,dwd_gyl_cghtmxmx,采购合同明细明细表,wzbm,物资编码,,varchar(80),80,,,,ods_cg_cghtmxmx,采购合同明细明细表,WZBM,物资编码,
供应链管理部,供应链管理,dwd_gyl_cghtmxmx,采购合同明细明细表,cgbm,采购编码,,varchar(80),80,,,,ods_cg_cghtmxmx,采购合同明细明细表,CGBM,采购编码,
供应链管理部,供应链管理,dwd_gyl_cghtmxmx,采购合同明细明细表,sl,数量,,"decimal(14,4)",-,,,,ods_cg_cghtmxmx,采购合同明细明细表,SL,数量,
供应链管理部,供应链管理,dwd_gyl_cghtmxmx,采购合同明细明细表,rksl,入库数量,,"decimal(14,4)",-,,,,ods_cg_cghtmxmx,采购合同明细明细表,RKSL,入库数量,
供应链管理部,供应链管理,dwd_gyl_cghtmxmx,采购合同明细明细表,rkje,入库金额,,"decimal(14,4)",-,,,,ods_cg_cghtmxmx,采购合同明细明细表,RKJE,入库金额,
供应链管理部,供应链管理,dwd_gyl_cghtmxmx,采购合同明细明细表,qkje,请款金额,,"decimal(14,4)",-,,,,ods_cg_cghtmxmx,采购合同明细明细表,QKJE,请款金额,
供应链管理部,供应链管理,dwd_gyl_cghtmxmx,采购合同明细明细表,gzje,,,"decimal(14,4)",-,,,,ods_cg_cghtmxmx,采购合同明细明细表,GZJE,,
供应链管理部,供应链管理,dwd_gyl_cghtmxmx,采购合同明细明细表,fkje,付款金额,,"decimal(14,4)",-,,,,ods_cg_cghtmxmx,采购合同明细明细表,FKJE,付款金额,
供应链管理部,供应链管理,dwd_gyl_cghtmxmx,采购合同明细明细表,xjbm,询价编码,(询价方案编码 或 招标方案id ),varchar(80),80,,,,ods_cg_cghtmxmx,采购合同明细明细表,XJBM,询价编码(询价方案编码 或 招标方案id ),
供应链管理部,供应链管理,dwd_gyl_cghtmxmx,采购合同明细明细表,dhsl,到货数量,(审核通过后反写),"decimal(14,4)",-,,,,ods_cg_cghtmxmx,采购合同明细明细表,DHSL,到货数量(审核通过后反写),
供应链管理部,供应链管理,dwd_gyl_cghtmxmx,采购合同明细明细表,hgsl,合格数量,(审核通过后反写),"decimal(14,4)",-,,,,ods_cg_cghtmxmx,采购合同明细明细表,HGSL,合格数量(审核通过后反写),
供应链管理部,供应链管理,dwd_gyl_cghtmxmx,采购合同明细明细表,bjbm,报价编码,(报价编码或投标文件id),varchar(80),80,,,,ods_cg_cghtmxmx,采购合同明细明细表,BJBM,报价编码(报价编码  或 投标文件id),
供应链管理部,供应链管理,dwd_gyl_cghtmxmx,采购合同明细明细表,erpjhmxid,ERP计划明细ID,erp 的计划明细id 或者 计划平衡主表 的计划明细id,varchar(40),40,,FK,,ods_cg_cghtmxmx,采购合同明细明细表,ERPJHMXID,erp 的计划明细id 或者 计划平衡主表 的计划明细id,
供应链管理部,供应链管理,dwd_gyl_cghtmxmx,采购合同明细明细表,dj,单价,,"decimal(16,6)",-,,,,ods_cg_cghtmxmx,采购合同明细明细表,DJ,单价,
供应链管理部,供应链管理,dwd_gyl_cghtmxmx,采购合同明细明细表,je,合同金额,,"decimal(18,4)",-,,,,ods_cg_cghtmxmx,采购合同明细明细表,JE,金额,
供应链管理部,供应链管理,dwd_gyl_cghtmxmx,采购合同明细明细表,zzsl,税率,,"decimal(14,4)",-,,,,ods_cg_cghtmxmx,采购合同明细明细表,ZZSL,税率,
供应链管理部,供应链管理,dwd_gyl_cghtmxmx,采购合同明细明细表,bhsdj,不含税单价,,"decimal(16,6)",-,,,,ods_cg_cghtmxmx,采购合同明细明细表,BHSDJ,不含税单价,
供应链管理部,供应链管理,dwd_gyl_cghtmxmx,采购合同明细明细表,bhsje,不含税金额,,"decimal(18,4)",-,,,,ods_cg_cghtmxmx,采购合同明细明细表,BHSJE,不含税金额,
供应链管理部,供应链管理,dwd_gyl_cghtmxmx,采购合同明细明细表,zlbz,备注,,text,65535,,,,ods_cg_cghtmxmx,采购合同明细明细表,ZLBZ,备注,
供应链管理部,供应链管理,dwd_gyl_cghtmxmx,采购合同明细明细表,jhrq,交货日期,,datetime,-,,,,ods_cg_cghtmxmx,采购合同明细明细表,JHRQ,交货日期,
供应链管理部,供应链管理,dwd_gyl_cghtmxmx,采购合同明细明细表,gysbjsm,供应商报价说明,来自采购询价和招标的报价说明,text,65535,,,,ods_cg_cghtmxmx,采购合同明细明细表,GYSBJSM,供应商报价说明-来自采购询价和招标的报价说明,
供应链管理部,供应链管理,dwd_gyl_cghtmxmx,采购合同明细明细表,bz,备注2,默认带入的值是 zlbz；gysbjsm  中间用分号隔开，可以修改。zlbz是质量技术要求，gysbjsm是质量技术说明,text,65535,,,,ods_cg_cghtmxmx,采购合同明细明细表,BZ,备注，默认带入的值是 zlbz；gysbjsm  中间用分号隔开，可以修改。zlbz是质量技术要求，gysbjsm是质量技术说明,
供应链管理部,供应链管理,dwd_gyl_cghtmxmx,采购合同明细明细表,chd,产地,,varchar(200),200,,,,ods_cg_cghtmxmx,采购合同明细明细表,CHD,产地,
供应链管理部,供应链管理,dwd_gyl_cghtmxmx,采购合同明细明细表,xybm,协议编码,选择协议物资的时候物资的价格，取自那个协议,varchar(40),40,,,,ods_cg_cghtmxmx,采购合同明细明细表,XYBM,协议编码，选择协议物资的时候物资的价格，取自那个协议,
